,rho,beta0,beta1,beta2,phi,sigma,Ifit,IUQ,nRuns,region
7-18,0.009999999999999995,277.20237981811005,2.1197895418296557,-1.1013222089578267,0.12644271701372364,0.8992648194396807,1.05051344275235,1.0506676892894002,7,EEU
7-19,0.3104597772290065,289.715416046787,-0.007438190113699573,0.8016536741996193,0.14502326779641372,0.26802259647319693,1.0714071240588996,0.9881196603369921,7,MED
7-20,0.7995310358421472,296.60709073819334,0.3104240486794109,0.578787679057151,0.16324159168505262,0.3820679459908602,1.048873297495434,1.062830054972498,7,SAH
7-21,0.009999999999999995,297.9148645716051,0.23843378736035387,0.4326906269972691,0.22968824099458016,0.29699689168907883,1.0611490914932606,1.1173771898455733,7,WAF
7-22,0.9041021963845831,295.3047834643236,0.16367687038559073,0.563559018079868,0.2030091462205205,0.24234860367052272,1.0530778222636206,1.0697087910363778,7,CAF
7-23,0.7705064165531341,297.17969827996023,0.012301966918122544,0.6315342562071314,0.29479098480329585,0.3197598526532707,1.04113677546946,1.0387767208740177,7,NEAF
7-24,0.009999999999999995,295.4062382877069,0.4678282968859609,0.15846972901128512,0.20957164416562715,0.38660024913722496,1.0627770188301182,1.1802217358811768,7,SEAF
7-25,0.8989317387170362,292.93911278613314,0.12262104816189516,0.5973433421609018,0.2239577989047415,0.2624507632497456,1.0481720806669186,1.08019382896008,7,WSAF
7-26,0.5224129398243589,293.7570038915659,0.29813419691109716,0.4692187213855109,0.24826996828579892,0.33333711646715275,1.0671064879287224,1.0450516587945378,7,ESAF
7-27,0.009999999999999995,296.8318394645386,0.09788705013342407,0.46478859594045935,0.15159391094147,0.2792704857798003,1.0660329511251603,1.0924924159486016,7,MDG
7-28,0.9783359621130775,257.3800234022432,1.4189674615406782,0.20350981366608273,0.17639409309516377,0.8519597916649961,1.0720805977094765,1.051862434742885,7,RAR
7-29,0.009999999999999995,272.49910929130385,1.6614569479247616,-0.4636818178669208,0.06588187293570798,1.008035503920814,1.0431883133029975,1.0231988991061034,7,WSB
7-30,0.009999999999999995,266.4127456970288,0.9317451535903476,0.1561089941223496,0.03304899056095373,0.7965781522236508,1.0507184927790802,1.0622027653207444,7,ESB
7-31,0.009999999999999995,266.80258869516325,1.5042820599598927,-0.2678286936482688,0.24753275545693448,0.5729045665176639,1.0767859717599446,1.0313496751903906,7,RFE
7-32,0.010000042240990192,287.4763419623336,0.8680744738583711,0.052647111964480485,-0.022956152662312646,0.4331422570283818,1.04883220038981,0.9729652432849735,7,WCA
7-33,0.009999999999999995,277.8586339159259,0.44629036669633165,0.5690613742669716,0.11014321210806231,0.5317204803582634,1.0489011410592624,0.9557764538370112,7,ECA
7-34,0.5929183679263512,268.2129508004131,0.03849493722231704,0.9700886700352306,0.15101955716178558,0.5411608248355161,1.0524941027495232,1.0330135305322266,7,TIB
7-35,0.7522532621190821,286.81988537113375,0.3194696064899523,0.4608374902943217,0.21712716012404445,0.27508408048045474,1.057767512736048,1.0183057012647725,7,EAS
